run_id,method,budget,epoch,train_loss
dense_seed42_stage1,dense,Dense,0,0.1352644506049283
dense_seed42_stage1,dense,Dense,1,0.055565287468043414
dense_seed42_stage1,dense,Dense,2,0.03423201572149992
dense_seed42_stage1,dense,Dense,3,0.023380565546215214
dense_seed42_stage1,dense,Dense,4,0.019187640611756037
dense_seed42_stage1,dense,Dense,5,0.014038677498242481
dense_seed42_stage1,dense,Dense,6,0.011570088310226639
dense_seed42_stage1,dense,Dense,7,0.010581993854584847
dense_seed42_stage1,dense,Dense,8,0.009238057025520012
dense_seed42_stage1,dense,Dense,9,0.008348458782185186
dense_seed42_stage1,dense,Dense,10,0.008250049025593127
dense_seed42_stage1,dense,Dense,11,0.006916240254600354
dense_seed42_stage1,dense,Dense,12,0.006573648676226669
dense_seed42_stage1,dense,Dense,13,0.006008333387844106
dense_seed42_stage1,dense,Dense,14,0.005877551539711892
dense_seed42_stage1,dense,Dense,15,0.0055669183388322675
dense_seed42_stage1,dense,Dense,16,0.0052572633920019455
dense_seed42_stage1,dense,Dense,17,0.005127092595509392
dense_seed42_stage1,dense,Dense,18,0.005111537245226073
dense_seed42_stage1,dense,Dense,19,0.004892292434963932
dense_seed42_stage1,dense,Dense,20,0.004645821272440136
dense_seed42_stage1,dense,Dense,21,0.0046339814199451755
dense_seed42_stage1,dense,Dense,22,0.004519683547922351
dense_seed42_stage1,dense,Dense,23,0.004419754816595703
dense_seed42_stage1,dense,Dense,24,0.0043172678053180905
dense_seed42_stage1,dense,Dense,25,0.004220674373581015
dense_seed42_stage1,dense,Dense,26,0.0040296431611653695
dense_seed42_stage1,dense,Dense,27,0.004085585732567817
dense_seed42_stage1,dense,Dense,28,0.003917446652888023
dense_seed42_stage1,dense,Dense,29,0.0038099449934150546
dense_seed42_stage1,dense,Dense,30,0.0038037782230295556
dense_seed42_stage1,dense,Dense,31,0.0037936262570896205
dense_seed42_stage1,dense,Dense,32,0.003731423426057866
dense_seed42_stage1,dense,Dense,33,0.0036166424217802333
dense_seed42_stage1,dense,Dense,34,0.0036083862007139844
dense_seed42_stage1,dense,Dense,35,0.003554657631073187
dense_seed42_stage1,dense,Dense,36,0.0035300861302257932
