slice_id,active_gt_pixels,scribble_pixels,category
0,0,0,A_true_negative
98,0,0,A_true_negative
99,0,0,A_true_negative
100,0,0,A_true_negative
101,0,0,A_true_negative
102,0,0,A_true_negative
103,0,0,A_true_negative
104,0,0,A_true_negative
105,0,0,A_true_negative
106,0,0,A_true_negative
107,0,0,A_true_negative
108,0,0,A_true_negative
109,0,0,A_true_negative
110,0,0,A_true_negative
111,0,0,A_true_negative
112,0,0,A_true_negative
113,0,0,A_true_negative
114,0,0,A_true_negative
115,0,0,A_true_negative
192,0,0,A_true_negative
193,0,0,A_true_negative
194,0,0,A_true_negative
195,0,0,A_true_negative
196,0,0,A_true_negative
197,0,0,A_true_negative
198,0,0,A_true_negative
199,0,0,A_true_negative
200,0,0,A_true_negative
201,0,0,A_true_negative
202,0,0,A_true_negative
203,0,0,A_true_negative
204,0,0,A_true_negative
205,0,0,A_true_negative
206,0,0,A_true_negative
277,0,0,A_true_negative
278,0,0,A_true_negative
279,0,0,A_true_negative
280,0,0,A_true_negative
281,0,0,A_true_negative
282,0,0,A_true_negative
283,0,0,A_true_negative
284,0,0,A_true_negative
285,0,0,A_true_negative
286,0,0,A_true_negative
287,0,0,A_true_negative
288,0,0,A_true_negative
289,0,0,A_true_negative
290,0,0,A_true_negative
291,0,0,A_true_negative
292,0,0,A_true_negative
293,0,0,A_true_negative
294,0,0,A_true_negative
295,0,0,A_true_negative
296,0,0,A_true_negative
297,0,0,A_true_negative
298,0,0,A_true_negative
299,0,0,A_true_negative
379,0,0,A_true_negative
380,0,0,A_true_negative
381,0,0,A_true_negative
382,0,0,A_true_negative
383,0,0,A_true_negative
384,0,0,A_true_negative
385,0,0,A_true_negative
386,0,0,A_true_negative
387,0,0,A_true_negative
388,0,0,A_true_negative
389,0,0,A_true_negative
390,0,0,A_true_negative
391,0,0,A_true_negative
392,0,0,A_true_negative
393,0,0,A_true_negative
394,0,0,A_true_negative
395,0,0,A_true_negative
396,0,0,A_true_negative
397,0,0,A_true_negative
398,0,0,A_true_negative
399,0,0,A_true_negative
400,0,0,A_true_negative
401,0,0,A_true_negative
402,0,0,A_true_negative
403,0,0,A_true_negative
404,0,0,A_true_negative
405,0,0,A_true_negative
406,0,0,A_true_negative
407,0,0,A_true_negative
408,0,0,A_true_negative
409,0,0,A_true_negative
410,0,0,A_true_negative
411,0,0,A_true_negative
412,0,0,A_true_negative
413,0,0,A_true_negative
500,0,0,A_true_negative
501,0,0,A_true_negative
502,0,0,A_true_negative
